Wikipedia_ID,Movie_Name,Release_Date,Box_Office_Revenue,Runtime,Languages,Countries,Genres,Continents,Year,Rated,Director,Writer,Actors,Plot,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,DVD,Production,Website,Response,totalSeasons,Oscar,Nomination_Awards,Win_Awards,Internet_Movie_Database_Rating,Rotten_Tomatoes_Rating,Metacritic_Rating,Comedy_Types
73842,Gertie the Dinosaur,1914-09-14,,12.0,['English Language'],['United States of America'],"['Short Film', 'Fantasy', 'Comedy', 'Black-and-white', 'Animation']",America,1914,Not Rated,Winsor McCay,Winsor McCay,"Winsor McCay, George McManus, Roy L. McCardell","The cartoonist, Winsor McCay, brings the Dinosaurs back to life in the figure of his latest creation, Gertie the Dinosaur.",1 win,https://m.media-amazon.com/images/M/MV5BMTQxNzI4ODQ3NF5BMl5BanBnXkFtZTgwNzY5NzMwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"3,733",tt0004008,,,,True,,0,0,1,7.1,,,Comedy_Animation
14886428,Johnny Smith and Poker-Huntas,1938-10-22,,8.0,['English Language'],['United States of America'],"['Short Film', 'Family Film', 'Comedy', 'Animation']",America,1938,Not Rated,Tex Avery,Rich Hogan,"Tex Avery, Mel Blanc, Bernice Hansen","Johnny Smith enters an America where the Indians behave like 1930s average Americans. When he is arrested, the girl Poker Huntas rescues and elopes with him.",,https://m.media-amazon.com/images/M/MV5BYmI5ZDUxZDctYzMyNS00ZTM0LThmNDItODhjYjVlZjNmYzNiXkEyXkFqcGdeQXVyMTU5NjQzMzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",,6.0,161,tt0030289,,,,True,,0,0,0,6.0,,,Comedy_Animation
1858682,Monkey Business,1952,2000000.0,97.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Screwball comedy', 'Comedy', 'Black-and-white']",America,1952,All Audiences (TP),Howard Hawks,"Ben Hecht, Charles Lederer, I.A.L. Diamond","Cary Grant, Ginger Rogers, Marilyn Monroe",A chemist finds his personal and professional life turned upside down when one of his chimpanzees finds the fountain of youth.,1 nomination,https://m.media-amazon.com/images/M/MV5BMWY1ZTgzMGYtMWQyOC00NDE5LWJiNTQtM2M1ZTdiZTI1MjhiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}]",,6.9,"15,752",tt0044916,,,,True,,0,1,0,6.9,7.9,,Comedy_Screwball
12091274,Puccini for Beginners,2007-02-02,110864.0,81.0,['English Language'],['United States of America'],"['Romantic comedy', 'LGBT', 'Indie', 'Screwball comedy', 'Gay', 'Gay Interest', 'Comedy', 'Gay Themed', 'Romance Film']",America,2006,Not Rated,Maria Maggenti,Maria Maggenti,"Ken Barnett, Julianne Nicholson, Brian Letscher",A recently-singled New York writer finds herself in two surprising and complicated relationships.,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjE5NzQyNDEwNF5BMl5BanBnXkFtZTcwNTYxNDI0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,6.0,"2,512",tt0492481,,,,True,,0,1,1,6.0,4.9,5.4,Comedy_Screwball
20611297,Pink Blue Plate,,,6.0,['English Language'],['United States of America'],"['Short Film', 'Comedy', 'Animation']",America,1971,All Audiences (TP),Gerry Chiniquy,Dale Hale,,The diminutive owner of a diner situated next to a construction site is inundated with lunchtime customers and hires the Pink Panther as a short-order cook. But the accident-prone panther causes nothing but trouble for the little ...,,https://m.media-amazon.com/images/M/MV5BODI3NzY0NzU5NF5BMl5BanBnXkFtZTcwMTUyNzEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,132,tt0067578,,,,True,,0,0,0,6.1,,,Comedy_Animation
1307956,Stage Beauty,2004-05-08,2153070.0,109.0,['English Language'],"['United States of America', 'United Kingdom', 'Germany']","['LGBT', 'Romantic comedy', 'Comedy of manners', 'Comedy-drama', 'Period piece', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",Both,2004,16+,Richard Eyre,Jeffrey Hatcher,"Billy Crudup, Claire Danes, Rupert Everett",A female theatre dresser creates a stir and sparks a revolution in seventeenth century London theatre by playing Desdemona in Othello. But what will become of the male actor she once worked for and eventually replaced?,4 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BN2Q2YjllYzMtNjdkNS00ODU0LWE0YjAtY2M1NDIyYzAzMmEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,7.1,"10,821",tt0368658,16 Aug 2005,,,True,,0,1,4,7.1,,6.4,Comedy_Screwball
7173668,Chess-Nuts,1932-04-13,,7.0,['English Language'],['United States of America'],"['Short Film', 'Family Film', 'Comedy', 'Animation']",America,1932,Not Rated,"Dave Fleischer, Shamus Culhane",,"Billy Murray, Mae Questel",Betty Boop is the black queen and Bimbo the white king in a surrealistic chess game.,,https://m.media-amazon.com/images/M/MV5BMDg0MzdlNzUtNDljNy00OWM3LWI1ZGYtMzgwZGVjNjRmMmMyXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,295,tt0022758,,,,True,,0,0,0,6.6,,,Comedy_Animation
12287578,Bal-Can-Can,2005-01-01,,89.0,"['Croatian language', 'Italian Language', 'English Language', 'Bosnian language', 'Bulgarian Language', 'Albanian language', 'Russian Language', 'Serbian language', 'Macedonian Language']","['Italy', 'Republic of Macedonia']","['Crime Fiction', 'Action', 'Comedy', 'War film']",Europe,2005,Not Rated,Darko Mitrevski,Darko Mitrevski,"Vlado Jovanovski, Adolfo Margiotta, Zvezda Angelovska","A Macedonian military deserter and his Italian blood-brother are searching for a dead grandmother wrapped up in a stolen carpet, all over the Balkan's criminal underworld.",3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMGM1OTdhMTMtNzMzMC00OTE2LTliNGEtODk4ZTM4NzA3ODc2XkEyXkFqcGdeQXVyMTEyNjEwMjE1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"2,772",tt0369258,,,,True,,0,2,3,7.6,,,Comedy_War
20695060,Pink Suds,1979-12-19,,7.0,['English Language'],['United States of America'],"['Short Film', 'Comedy', 'Animation']",America,1979,Not Rated,Arthur Davis,Cullen Blaine,,"The Pink Panther visits the laundromat, where he unintentionally causes misfortune to his fellow customer, the Little Man.",,https://m.media-amazon.com/images/M/MV5BZDFiMmQyN2UtMGQ1MS00NWY4LTk5Y2UtYjdhYWEzYTY1NWY5XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,121,tt0170392,,,,True,,0,0,0,5.6,,,Comedy_Animation
20138604,Old Sequoia,1945-12-21,,8.0,['English Language'],['United States of America'],"['Short Film', 'Family Film', 'Comedy', 'Animation']",America,1945,Not Rated,Jack King,Homer Brightman,"Billy Bletcher, Clarence Nash, Perry Norman","Donald is a park ranger, assigned to protect the giant tree Old Sequoia from a pair of beavers that bear a striking resemblance in their tactics and speech to Chip 'n' Dale.",,https://m.media-amazon.com/images/M/MV5BZjI3MGVkNDgtYmZjNC00Yzc2LTk3MWYtZWQ5NDk2YTNkYjk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,529,tt0037958,,,,True,,0,0,0,6.8,,,Comedy_Animation
7100124,Daffy Duck Slept Here,1948,,7.0,['Unknown'],['United States of America'],"['Short Film', 'Family Film', 'Comedy', 'Animation']",America,1948,All Audiences (TP),Robert McKimson,Warren Foster,"Mel Blanc, Frank Nelson","Porky Pig fights to get a room in the only vacant hotel in town. Unfortunately, he must share his room with Daffy Duck, who irritates Porky and makes the night uncomfortable for him.",,https://m.media-amazon.com/images/M/MV5BNjg4OGQyOTktMmZkYy00ZjgwLWJlNWYtZDYxZTYxOTM1ZThkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,776,tt0040262,,,,True,,0,0,0,7.5,,,Comedy_Animation
957179,Bright Young Things,2003-10-03,933637.0,104.0,['English Language'],['United Kingdom'],"['Indie', 'Comedy of manners', 'Comedy-drama', 'Period piece', 'Drama', 'Comedy', 'War film']",Europe,2003,16+,Stephen Fry,"Stephen Fry, Evelyn Waugh","Stephen Campbell Moore, Emily Mortimer, Dan Aykroyd","An adaptation of Evelyn Waugh's novel ""Vile Bodies"", is a look into the lives of a young novelist, his would-be lover, and a host of young people who beautified London in the 1930s.",10 nominations,https://m.media-amazon.com/images/M/MV5BOTBjZGFmZmYtMzVmMi00YjkwLWEyYWMtMmVlOGYzODczYWE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,6.5,"6,438",tt0325123,,,,True,,0,10,0,6.5,6.6,6.4,Comedy_Screwball
