Wikipedia_ID,Movie_Name,Release_Date,Box_Office_Revenue,Runtime,Languages,Countries,Genres,Continents,Year,Rated,Director,Writer,Actors,Plot,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,DVD,Production,Website,Response,totalSeasons,Oscar,Nomination_Awards,Win_Awards,Internet_Movie_Database_Rating,Rotten_Tomatoes_Rating,Metacritic_Rating,Comedy_Types
336846,Grease,1978-06-16,394589888.0,225.0,['English Language'],['United States of America'],"['Romantic comedy', 'LGBT', 'Musical', 'Comedy', 'Romance Film', 'Teen']",America,1978,Recommended Parental Agreement (AP),Randal Kleiser,"Jim Jacobs, Warren Casey, Bronte Woodard","John Travolta, Olivia Newton-John, Stockard Channing","Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",Nominated for 1 Oscar. 8 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BNGY0NzE0ZTctN2YzNC00M2IwLWI0OWYtMTAwZWU2NjZhMTQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70.0,7.2,"307,344",tt0077631,,,,True,,0,10,8,7.2,6.6,7.0,Comedy_Teen
1588008,Heidi Fleiss: Hollywood Madam,1995-12-27,34402.0,106.0,['English Language'],"['United States of America', 'Canada', 'United Kingdom', 'Germany']","['Biography', 'Political drama', 'Comedy']",Both,1995,Not Rated,Nick Broomfield,,"Nick Broomfield, Nina Xining Zuo, Madam Alex","A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone w...",1 nomination,https://m.media-amazon.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",,6.6,844,tt0113283,,,,True,,0,1,0,6.6,7.8,,Comedy_Political
6170621,Herod's Law,1999-11-09,52000.0,120.0,['Spanish Language'],['Mexico'],"['Political cinema', 'Political satire', 'Satire', 'Comedy', 'World cinema']",America,1999,16+,Luis Estrada,"Luis Estrada, Vicente Leñero, Fernando Javier León Rodríguez","Damián Alcázar, Pedro Armendáriz Jr., Delia Casanova",A naive man appointed as an acting mayor of a small town turns into a corrupt politician capable of anything to stay in power.,21 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BYTg3Y2YxMmUtZWI2Zi00MGIyLTlkZjktMjM0M2FmOWM1MDBmXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,7.8,"7,226",tt0221344,,,,True,,0,8,21,7.8,6.8,6.4,Comedy_Political
26900805,The Chiltern Hundreds,,,90.0,['Unknown'],['United Kingdom'],"['Political satire', 'Comedy', 'Domestic Comedy']",Europe,1949,Not Rated,,William Douglas-Home,"Gladys Boot, Jane Fergus, Marjorie Fielding","Young Viscount Pym manages to to get an army leave on the pretense of running for the Conservatives in the next local election. His only aim in fact is to marry June, a rich American heiress, before she returns to America. Due to ...",,https://m.media-amazon.com/images/M/MV5BMGQzZDdhMzItNzFiMi00ZjI1LTlhMzAtMzIyYmE4YjJhNzIyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,[],,,22,tt4496568,,,,True,,0,0,0,,,,Comedy_Political
17028988,Nailed,2009,,90.0,['English Language'],['United States of America'],"['Romantic comedy', 'Political cinema', 'Romance Film', 'Satire', 'Comedy']",America,2006,16+,Adrian O'Connell,Stephen McAnena,"Charles Porter, Wilson Jermaine Heredia, Sam Sarpong","""Nailed"" is a thriller about two men who break into a house in an attempt to escape arrest by police, and find instead a man lying on a bed, covered in bandages, whose caretaker might have intentions that are less than honorable. ...",,https://m.media-amazon.com/images/M/MV5BMTY4OTA3ODA3OF5BMl5BanBnXkFtZTcwNzgzMTU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",,4.2,519,tt0475989,11 Sep 2007,,,True,,0,0,0,4.2,,,Comedy_Political
736262,The Sure Thing,1985-03-01,18135531.0,95.0,['English Language'],['United States of America'],"['Romantic comedy', 'Adventure', 'Road movie', 'Coming of age', 'Comedy', 'Drama', 'Romance Film', 'Teen']",America,1985,Recommended Parental Agreement (AP),Rob Reiner,"Steve Bloom, Jonathan Roberts","John Cusack, Daphne Zuniga, Anthony Edwards","Walter Gibson is a university freshman going through a dry spell. His old buddy arranges a ""sure thing"" for him in California. Gibson and his classmate Allison then take a long road trip out to Cali, and both foil each other's plans.",,https://m.media-amazon.com/images/M/MV5BYWNiNjZjNjEtMjhiYy00YzJmLThkNGQtYjQxZmY5Y2Q3Y2EyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.0,"22,494",tt0090103,,,,True,,0,0,0,7.0,8.6,7.6,Comedy_Teen
1871167,Welcome to Mooseport,2004-02-20,14000000.0,110.0,['English Language'],"['United States of America', 'Germany']","['Political cinema', 'Romance Film', 'Americana', 'Comedy']",Both,2004,Recommended Parental Agreement (AP),Donald Petrie,"Doug Richardson, Tom Schulman","Gene Hackman, Ray Romano, Maura Tierney","A US president who has retired after two terms in office returns to his hometown of Mooseport, Maine and decides to run for Mayor against another local candidate.",,https://m.media-amazon.com/images/M/MV5BMTk1NzI1NTczM15BMl5BanBnXkFtZTYwMTYwMTk2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33.0,5.3,"13,599",tt0361925,,,,True,,0,0,0,5.3,1.3,3.3,Comedy_Political
18487239,Vice Versa,1988-03-11,13664060.0,98.0,['English Language'],['United States of America'],"['Drama', 'Comedy', 'Film adaptation', 'Fantasy', 'Family Film', 'Teen']",America,1988,Recommended Parental Agreement (AP),Brian Gilbert,"Dick Clement, Ian La Frenais, Thomas Anstey Guthrie","Judge Reinhold, Fred Savage, Corinne Bohrer","Divorced executive Marshall and his 11-year-old son Charlie casually touch a magical Tibetan skull, releasing a mysterious power that transfers Marshall's mind to Charlie's body and vice versa. Their problems have just begun.",1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BYjg3YjMyNGYtMWI5YS00ODgyLWIwOWUtODY2NzhmZGIyMzI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,5.9,"10,751",tt0096380,,,,True,,0,5,1,5.9,5.0,6.1,Comedy_Teen
1480748,House Party 3,1994-01-24,19281235.0,93.0,['English Language'],['United States of America'],"['Cult', 'Coming of age', 'Comedy', 'Teen']",America,1994,16+,Eric Meza,"Reginald Hudlin, David Toney, Takashi Bufford","Christopher Reid, Christopher Martin, David Edwards","Kid, after a lifetime 'playing the field', is about to get married. 'Play' plans to throw the best bachelor party ever - until 'Kid's' three wise-crackin' nephews come to town, intent on showing them what parties are all about.",,https://m.media-amazon.com/images/M/MV5BZjM1NTk4MjItYjVhYS00ODQ5LWI5YjUtZTMzYjYxMDc5NzA5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",,4.7,"5,683",tt0110064,,,,True,,0,0,0,4.7,0.0,,Comedy_Teen
1480747,House Party 2,1991-10-23,19438638.0,94.0,['English Language'],['United States of America'],"['Cult', 'Coming of age', 'Comedy', 'Teen']",America,1991,16+,"George Jackson, Doug McHenry","Reginald Hudlin, Rusty Cundieff, Daryl G. Nickens","Christopher Reid, Christopher Martin, Martin Lawrence","When Kid's college money is stolen by a crooked music promoter, Play's solution is to stage the 'mutha' of all pajama parties. Starring Kid 'n Play and Martin Lawrence.",,https://m.media-amazon.com/images/M/MV5BMDMwZTIzNjAtNWY5My00MWIyLWI3MjgtYTU5NTZjNjdhMGZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}]",,5.3,"7,192",tt0102065,,,,True,,0,0,0,5.3,2.7,,Comedy_Teen
