Wikipedia_ID,Movie_Name,Release_Date,Box_Office_Revenue,Runtime,Languages,Countries,Genres,Continents,Year,Rated,Director,Writer,Actors,Plot,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,DVD,Production,Website,Response,totalSeasons,Oscar,Nomination_Awards,Win_Awards,Internet_Movie_Database_Rating,Rotten_Tomatoes_Rating,Metacritic_Rating,Comedy_Types
1588008,Heidi Fleiss: Hollywood Madam,1995-12-27,34402.0,106.0,['English Language'],"['United States of America', 'Canada', 'United Kingdom', 'Germany']","['Biography', 'Political drama', 'Comedy']",Both,1995,Not Rated,Nick Broomfield,,"Nick Broomfield, Nina Xining Zuo, Madam Alex","A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone w...",1 nomination,https://m.media-amazon.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",,6.6,844,tt0113283,,,,True,,0,1,0,6.6,7.8,,Comedy_Political
6170621,Herod's Law,1999-11-09,52000.0,120.0,['Spanish Language'],['Mexico'],"['Political cinema', 'Political satire', 'Satire', 'Comedy', 'World cinema']",America,1999,16+,Luis Estrada,"Luis Estrada, Vicente Leñero, Fernando Javier León Rodríguez","Damián Alcázar, Pedro Armendáriz Jr., Delia Casanova",A naive man appointed as an acting mayor of a small town turns into a corrupt politician capable of anything to stay in power.,21 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BYTg3Y2YxMmUtZWI2Zi00MGIyLTlkZjktMjM0M2FmOWM1MDBmXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,7.8,"7,226",tt0221344,,,,True,,0,8,21,7.8,6.8,6.4,Comedy_Political
12287578,Bal-Can-Can,2005-01-01,,89.0,"['Croatian language', 'Italian Language', 'English Language', 'Bosnian language', 'Bulgarian Language', 'Albanian language', 'Russian Language', 'Serbian language', 'Macedonian Language']","['Italy', 'Republic of Macedonia']","['Crime Fiction', 'Action', 'Comedy', 'War film']",Europe,2005,Not Rated,Darko Mitrevski,Darko Mitrevski,"Vlado Jovanovski, Adolfo Margiotta, Zvezda Angelovska","A Macedonian military deserter and his Italian blood-brother are searching for a dead grandmother wrapped up in a stolen carpet, all over the Balkan's criminal underworld.",3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMGM1OTdhMTMtNzMzMC00OTE2LTliNGEtODk4ZTM4NzA3ODc2XkEyXkFqcGdeQXVyMTEyNjEwMjE1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"2,772",tt0369258,,,,True,,0,2,3,7.6,,,Comedy_War
26900805,The Chiltern Hundreds,,,90.0,['Unknown'],['United Kingdom'],"['Political satire', 'Comedy', 'Domestic Comedy']",Europe,1949,Not Rated,,William Douglas-Home,"Gladys Boot, Jane Fergus, Marjorie Fielding","Young Viscount Pym manages to to get an army leave on the pretense of running for the Conservatives in the next local election. His only aim in fact is to marry June, a rich American heiress, before she returns to America. Due to ...",,https://m.media-amazon.com/images/M/MV5BMGQzZDdhMzItNzFiMi00ZjI1LTlhMzAtMzIyYmE4YjJhNzIyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,[],,,22,tt4496568,,,,True,,0,0,0,,,,Comedy_Political
17028988,Nailed,2009,,90.0,['English Language'],['United States of America'],"['Romantic comedy', 'Political cinema', 'Romance Film', 'Satire', 'Comedy']",America,2006,16+,Adrian O'Connell,Stephen McAnena,"Charles Porter, Wilson Jermaine Heredia, Sam Sarpong","""Nailed"" is a thriller about two men who break into a house in an attempt to escape arrest by police, and find instead a man lying on a bed, covered in bandages, whose caretaker might have intentions that are less than honorable. ...",,https://m.media-amazon.com/images/M/MV5BMTY4OTA3ODA3OF5BMl5BanBnXkFtZTcwNzgzMTU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",,4.2,519,tt0475989,11 Sep 2007,,,True,,0,0,0,4.2,,,Comedy_Political
957179,Bright Young Things,2003-10-03,933637.0,104.0,['English Language'],['United Kingdom'],"['Indie', 'Comedy of manners', 'Comedy-drama', 'Period piece', 'Drama', 'Comedy', 'War film']",Europe,2003,16+,Stephen Fry,"Stephen Fry, Evelyn Waugh","Stephen Campbell Moore, Emily Mortimer, Dan Aykroyd","An adaptation of Evelyn Waugh's novel ""Vile Bodies"", is a look into the lives of a young novelist, his would-be lover, and a host of young people who beautified London in the 1930s.",10 nominations,https://m.media-amazon.com/images/M/MV5BOTBjZGFmZmYtMzVmMi00YjkwLWEyYWMtMmVlOGYzODczYWE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,6.5,"6,438",tt0325123,,,,True,,0,10,0,6.5,6.6,6.4,Comedy_War
934809,Operation Petticoat,1959,23300000.0,124.0,['English Language'],['United States of America'],"['Action/Adventure', 'Action', 'Comedy', 'War film']",America,1959,All Audiences (TP),Blake Edwards,"Stanley Shapiro, Maurice Richlin, Paul King","Cary Grant, Tony Curtis, Joan O'Brien","During World War II, a commander finds himself stuck with a decrepit (and pink) submarine, a con man executive officer, and a group of army nurses.",Nominated for 1 Oscar. 1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYzg3Yzc4MzktYjUyNC00MTI3LWEwNjQtYTQ5ZDIxMTBhZjBhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}]",,7.2,"16,218",tt0053143,,,,True,,0,5,1,7.2,8.1,,Comedy_War
5049873,Mediterraneo,1991-09-09,4532791.0,96.0,"['Greek Language', 'Turkish Language', 'Italian Language', 'English Language', 'Ancient Greek']",['Italy'],"['Romantic comedy', 'World cinema', 'Drama', 'Comedy', 'War film', 'Romance Film']",Europe,1991,16+,Gabriele Salvatores,Enzo Monteleone,"Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna","In WW2, an Italian Army unit of misfits occupies an isolated non-strategic Greek island for the duration of the war.",Won 1 Oscar. 9 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BNTliYzY5OTktZDg3OC00NDA0LTlhYzAtNTE3ZmU1YWU1NWUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,7.4,"16,675",tt0102426,,,,True,,1,17,9,7.4,8.0,,Comedy_War
1871167,Welcome to Mooseport,2004-02-20,14000000.0,110.0,['English Language'],"['United States of America', 'Germany']","['Political cinema', 'Romance Film', 'Americana', 'Comedy']",Both,2004,Recommended Parental Agreement (AP),Donald Petrie,"Doug Richardson, Tom Schulman","Gene Hackman, Ray Romano, Maura Tierney","A US president who has retired after two terms in office returns to his hometown of Mooseport, Maine and decides to run for Mayor against another local candidate.",,https://m.media-amazon.com/images/M/MV5BMTk1NzI1NTczM15BMl5BanBnXkFtZTYwMTYwMTk2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33.0,5.3,"13,599",tt0361925,,,,True,,0,0,0,5.3,1.3,3.3,Comedy_Political
918886,All the Queen's Men,2001,23662.0,100.0,['English Language'],"['United States of America', 'Austria', 'Australia', 'Hungary', 'Germany']","['Comedy-drama', 'Action/Adventure', 'Period piece', 'Drama', 'Comedy', 'War film', 'Action']",Both,2001,Recommended Parental Agreement (AP),Stefan Ruzowitzky,"Digby Wolfe, Joseph Manduke, June Roberts","Eddie Izzard, Matt LeBlanc, Udo Kier","A mismatched team of British Special Services agents led by an American must infiltrate, in disguise, a female-run Enigma factory in Berlin and bring back the decoding device that will end the war.",,https://m.media-amazon.com/images/M/MV5BZjA4YWI0YWQtNTRiOS00MmEwLWI5NTAtNTkwOGFhZGFiYmUyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",19.0,4.8,"2,745",tt0252223,,,,True,,0,0,0,4.8,0.7,1.9,Comedy_War
